;grid;on_wind;hydrogen_storage;Curtailment
8069;4.46;0.0;189.37;0.0
8070;4.7;0.0;189.37;0.0
8071;5.3;0.0;189.37;0.0
8072;5.6;0.0;189.37;0.0
8073;5.3;0.0;189.37;0.0
8074;6.02;0.0;189.37;0.0
8075;6.92;0.0;189.49;0.0
8076;6.92;0.0;189.93;0.0
8077;6.92;0.0;189.56;0.0
8078;6.92;0.0;189.99;0.0
8079;6.92;0.0;191.63;0.0
8080;6.92;0.0;193.41;0.0
8081;6.92;0.0;195.11;0.0
8082;6.92;0.0;195.8;0.0
8083;6.92;0.0;198.94;0.0
8084;6.92;0.0;198.91;0.0
8085;6.92;0.0;198.69;0.0
8086;6.92;0.0;198.47;0.0
8087;6.92;0.0;198.25;0.0
8088;6.92;0.0;198.06;0.0
8089;6.92;0.0;198.06;0.0
8090;6.92;0.0;198.25;0.0
8091;6.92;0.0;198.19;0.0
8092;6.92;0.0;198.81;0.0
8093;6.92;0.0;196.86;0.0
8094;6.92;0.0;197.61;0.0
8095;6.92;0.0;197.99;0.0
8096;6.92;0.0;196.23;0.0
8097;6.92;0.0;195.36;0.0
8098;6.92;0.0;195.26;0.0
8099;6.92;0.0;195.36;0.0
8100;6.92;0.0;195.26;0.0
8101;6.92;0.0;194.51;0.0
8102;6.92;0.0;194.57;0.0
8103;6.92;0.0;195.45;0.0
8104;6.92;0.0;195.39;0.0
8105;6.92;0.0;194.57;0.0
8106;6.92;0.0;194.23;0.0
8107;6.92;0.0;197.03;0.0
8108;6.92;0.0;197.28;0.0
8109;6.92;0.0;198.09;0.0
8110;6.92;0.0;198.94;0.0
8111;6.92;0.0;199.76;0.0
8112;6.92;0.0;199.72;0.0
8113;6.92;0.0;200.76;0.0
8114;6.92;0.0;200.63;0.0
8115;6.92;0.0;199.57;0.0
8116;6.92;0.0;199.19;0.0
8117;6.92;0.0;196.17;0.0
8118;6.92;0.0;195.8;0.0
8119;6.92;0.0;194.67;0.0
8120;6.92;0.0;193.38;0.0
8121;6.92;0.0;192.69;0.0
8122;6.92;0.0;192.5;0.0
8123;6.92;0.0;191.88;0.0
8124;6.92;0.0;191.53;0.0
8125;6.92;0.0;191.66;0.0
8126;6.92;0.0;192.22;0.0
8127;6.92;0.0;193.63;0.0
8128;6.92;0.0;194.38;0.0
8129;6.92;0.0;194.04;0.0
8130;6.92;0.0;193.51;0.0
8131;6.92;0.0;195.99;0.0
8132;6.92;0.0;195.02;0.0
8133;6.92;0.0;194.33;0.0
8134;6.92;0.0;193.67;0.0
8135;6.92;0.0;193.08;0.0
8136;6.92;0.0;192.86;0.0
8137;6.92;0.0;193.05;0.0
8138;6.92;0.0;193.42;0.0
8139;6.92;0.0;193.92;0.0
8140;6.92;0.0;194.43;0.0
8141;6.92;0.0;191.5;0.0
8142;6.92;0.0;191.84;0.0
8143;6.92;0.0;192.03;0.0
8144;6.92;0.0;192.47;0.0
8145;6.92;0.0;191.88;0.0
8146;6.92;0.0;191.72;0.0
8147;6.92;0.0;192.06;0.0
8148;6.92;0.0;192.63;0.0
8149;6.92;0.0;193.38;0.0
8150;6.92;0.0;193.79;0.0
8151;6.92;0.0;194.95;0.0
8152;6.92;0.0;195.8;0.0
8153;6.92;0.0;195.64;0.0
8154;6.92;0.0;195.2;0.0
8155;6.92;0.0;197.75;0.0
8156;6.92;0.0;197.03;0.0
