snapshot;on_wind;grid;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
118;15.46;-0.0;-1.45;14.0;8.12;-8.12;-8.12;1.46;0.0;6.67
119;18.44;-0.0;-3.02;16.7;9.69;-9.69;-9.69;1.74;0.0;6.67
120;22.44;-0.0;-5.12;20.33;11.79;-11.79;-11.79;2.11;0.0;6.67
121;23.75;-0.0;-5.81;21.52;12.48;-12.48;-12.48;2.24;0.0;6.67
122;24.17;-0.0;-6.03;21.89;12.7;-12.7;-12.7;2.28;0.0;6.67
123;25.07;-0.0;-6.5;22.7;13.17;-13.17;-13.17;2.36;0.0;6.67
124;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
125;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
126;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
127;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
128;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
129;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
130;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
131;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
132;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
133;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
134;22.8;-0.0;-1.98;20.65;11.98;-11.98;-11.98;2.15;0.0;10.0
135;19.46;-0.0;-0.22;17.62;10.22;-10.22;-10.22;1.83;0.0;10.0
136;17.07;-0.0;1.03;15.46;8.97;-8.97;-8.97;1.61;0.0;10.0
137;16.71;-0.0;1.22;15.14;8.78;-8.78;-8.78;1.57;0.0;10.0
138;17.9;-0.0;0.59;16.22;9.41;-9.41;-9.41;1.69;0.0;10.0
139;19.52;-0.0;-3.59;17.68;10.25;-10.25;-10.25;1.84;0.0;6.67
140;20.35;-0.0;-4.03;18.43;10.69;-10.69;-10.69;1.92;0.0;6.67
141;21.84;-0.0;-4.81;19.79;11.48;-11.48;-11.48;2.06;0.0;6.67
142;21.72;-0.0;-4.75;19.68;11.41;-11.41;-11.41;2.05;0.0;6.67
143;22.8;-0.0;-5.31;20.65;11.98;-11.98;-11.98;2.15;0.0;6.67
144;24.11;-0.0;-6.0;21.84;12.67;-12.67;-12.67;2.27;0.0;6.67
145;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
146;24.65;-0.0;-6.28;22.33;12.95;-12.95;-12.95;2.32;0.0;6.67
147;23.16;-0.0;-5.5;20.97;12.17;-12.17;-12.17;2.18;0.0;6.67
148;21.25;-0.0;-4.5;19.24;11.16;-11.16;-11.16;2.0;0.0;6.67
149;21.42;-0.0;-1.26;19.41;11.26;-11.26;-11.26;2.02;0.0;10.0
150;23.33;-0.0;-2.26;21.14;12.26;-12.26;-12.26;2.2;0.0;10.0
151;22.74;-0.0;-1.95;20.6;11.95;-11.95;-11.95;2.14;0.0;10.0
152;21.42;-0.0;-1.26;19.41;11.26;-11.26;-11.26;2.02;0.0;10.0
153;19.34;-0.0;-0.16;17.51;10.16;-10.16;-10.16;1.82;0.0;10.0
154;18.32;-0.0;0.37;16.6;9.63;-9.63;-9.63;1.73;0.0;10.0
155;17.55;-0.0;0.78;15.89;9.22;-9.22;-9.22;1.65;0.0;10.0
156;18.86;-0.0;0.09;17.08;9.91;-9.91;-9.91;1.78;0.0;10.0
157;22.8;-0.0;-1.98;20.65;11.98;-11.98;-11.98;2.15;0.0;10.0
158;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
159;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
160;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
161;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
162;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
163;-0.0;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
164;-0.0;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
165;-0.0;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
166;-0.0;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
167;-0.0;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
168;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
169;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
170;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
171;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
172;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
173;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
174;23.75;-0.0;-2.48;21.52;12.48;-12.48;-12.48;2.24;0.0;10.0
175;22.74;-0.0;-1.95;20.6;11.95;-11.95;-11.95;2.14;0.0;10.0
176;22.68;-0.0;-1.92;20.54;11.91;-11.91;-11.91;2.14;0.0;10.0
177;20.71;-0.0;-0.88;18.76;10.88;-10.88;-10.88;1.95;0.0;10.0
178;21.6;-0.0;-1.35;19.57;11.35;-11.35;-11.35;2.03;0.0;10.0
179;22.08;-0.0;-1.6;20.0;11.6;-11.6;-11.6;2.08;0.0;10.0
180;22.44;-0.0;-1.79;20.33;11.79;-11.79;-11.79;2.11;0.0;10.0
181;22.08;-0.0;-1.6;20.0;11.6;-11.6;-11.6;2.08;0.0;10.0
182;23.1;-0.0;-2.13;20.92;12.13;-12.13;-12.13;2.18;0.0;10.0
183;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
184;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
185;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
186;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
187;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
188;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
189;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
190;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
191;23.87;-0.0;-5.88;21.62;12.54;-12.54;-12.54;2.25;0.0;6.67
192;21.54;-0.0;-4.65;19.52;11.32;-11.32;-11.32;2.03;0.0;6.67
193;20.05;-0.0;-3.87;18.16;10.53;-10.53;-10.53;1.89;0.0;6.67
194;19.52;-0.0;-3.59;17.68;10.25;-10.25;-10.25;1.84;0.0;6.67
195;17.25;-0.0;-2.4;15.62;9.06;-9.06;-9.06;1.62;0.0;6.67
196;17.84;-0.0;-2.71;16.16;9.37;-9.37;-9.37;1.68;0.0;6.67
197;22.26;-0.0;-1.7;20.16;11.69;-11.69;-11.69;2.1;0.0;10.0
198;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
199;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
200;22.02;-0.0;-1.57;19.95;11.57;-11.57;-11.57;2.07;0.0;10.0
201;17.55;-0.0;0.78;15.89;9.22;-9.22;-9.22;1.65;0.0;10.0
202;20.41;-0.0;-0.72;18.49;10.72;-10.72;-10.72;1.92;0.0;10.0
203;25.48;-0.0;-3.39;23.08;13.39;-13.39;-13.39;2.4;0.0;10.0
204;24.59;-0.0;-2.92;22.27;12.92;-12.92;-12.92;2.32;0.0;10.0
205;23.04;-0.0;-2.1;20.87;12.1;-12.1;-12.1;2.17;0.0;10.0
206;22.08;-0.0;-1.6;20.0;11.6;-11.6;-11.6;2.08;0.0;10.0
207;21.6;-0.0;-1.35;19.57;11.35;-11.35;-11.35;2.03;0.0;10.0
208;20.47;-0.0;-0.76;18.54;10.75;-10.75;-10.75;1.93;0.0;10.0
209;21.31;-0.0;-1.19;19.3;11.19;-11.19;-11.19;2.01;0.0;10.0
210;19.46;-0.0;-0.22;17.62;10.22;-10.22;-10.22;1.83;0.0;10.0
211;19.4;-0.0;-3.52;17.57;10.19;-10.19;-10.19;1.83;0.0;6.67
212;21.6;-0.0;-4.68;19.57;11.35;-11.35;-11.35;2.03;0.0;6.67
213;24.29;-0.0;-6.09;22.0;12.76;-12.76;-12.76;2.29;0.0;6.67
214;24.83;-0.0;-6.38;22.49;13.04;-13.04;-13.04;2.34;0.0;6.67
215;24.47;-0.0;-6.19;22.16;12.86;-12.86;-12.86;2.3;0.0;6.67
216;22.32;-0.0;-5.06;20.22;11.73;-11.73;-11.73;2.1;0.0;6.67
217;21.19;-0.0;-4.46;19.19;11.13;-11.13;-11.13;2.0;0.0;6.67
218;20.35;-0.0;-4.03;18.43;10.69;-10.69;-10.69;1.92;0.0;6.67
219;21.66;-0.0;-4.72;19.62;11.38;-11.38;-11.38;2.04;0.0;6.67
220;21.96;-0.0;-4.87;19.89;11.54;-11.54;-11.54;2.07;0.0;6.67
221;23.16;-0.0;-2.17;20.97;12.17;-12.17;-12.17;2.18;0.0;10.0
222;22.8;-0.0;-1.98;20.65;11.98;-11.98;-11.98;2.15;0.0;10.0
223;22.86;-0.0;-2.01;20.7;12.01;-12.01;-12.01;2.15;0.0;10.0
224;23.22;-0.0;-2.2;21.03;12.2;-12.2;-12.2;2.19;0.0;10.0
225;20.47;-0.0;-0.76;18.54;10.75;-10.75;-10.75;1.93;0.0;10.0
226;19.34;-0.0;-0.16;17.51;10.16;-10.16;-10.16;1.82;0.0;10.0
227;19.81;-0.0;-0.41;17.95;10.41;-10.41;-10.41;1.87;0.0;10.0
228;19.81;-0.0;-0.41;17.95;10.41;-10.41;-10.41;1.87;0.0;10.0
229;19.46;-0.0;-0.22;17.62;10.22;-10.22;-10.22;1.83;0.0;10.0
230;21.96;-0.0;-1.54;19.89;11.54;-11.54;-11.54;2.07;0.0;10.0
231;24.53;-0.0;-2.89;22.22;12.89;-12.89;-12.89;2.31;0.0;10.0
232;25.42;-0.0;-3.36;23.03;13.36;-13.36;-13.36;2.39;0.0;10.0
233;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
234;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
235;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
236;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
237;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
238;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
239;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
240;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
241;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
242;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
243;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
244;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
245;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
246;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
247;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
