;on_wind;battery storage;hydrogen_storage;Curtailment
3104;0.0;33.85;510.16;0.0
3105;0.0;33.85;510.03;0.0
3106;0.0;33.85;509.86;0.0
3107;0.0;33.85;509.64;0.0
3108;0.0;33.85;509.3;0.0
3109;0.0;33.85;508.82;0.0
3110;0.0;33.85;508.22;0.0
3111;0.0;33.85;507.32;0.0
3112;0.0;33.8;506.22;0.0
3113;0.0;32.24;506.22;0.0
3114;0.0;31.5;506.22;0.0
3115;0.0;31.17;509.56;0.0
3116;0.0;31.34;509.56;0.0
3117;0.0;31.83;509.56;0.0
3118;0.0;32.49;509.56;0.0
3119;0.0;33.31;509.56;0.0
3120;0.0;33.8;509.56;0.0
3121;0.0;33.85;509.66;0.0
3122;0.0;33.85;509.57;0.0
3123;0.0;33.39;509.56;0.0
3124;0.0;32.73;509.56;0.0
3125;0.0;31.83;506.22;0.0
3126;0.0;31.17;506.22;0.0
3127;0.0;31.42;506.22;0.0
3128;0.0;32.24;506.22;0.0
3129;0.0;32.98;506.22;0.0
3130;0.0;33.31;506.22;0.0
3131;0.0;33.55;506.22;0.0
3132;0.0;33.85;506.32;0.0
3133;0.0;33.85;506.58;0.0
3134;0.0;33.85;506.71;0.0
3135;0.0;33.85;507.32;0.0
3136;0.0;33.85;507.79;0.0
3137;0.0;23.18;513.44;0.0
3138;0.0;23.35;513.44;0.0
3139;0.0;33.85;511.68;0.0
3140;0.0;33.85;512.24;0.0
3141;0.0;33.85;513.41;0.0
3142;0.0;33.85;514.44;0.0
3143;0.0;33.85;515.43;0.0
3144;0.0;33.85;515.82;0.0
3145;0.0;33.85;515.77;0.0
3146;0.0;33.85;515.77;0.0
3147;0.0;33.85;515.69;0.0
3148;0.0;33.85;514.78;0.0
3149;0.0;33.85;508.56;0.0
3150;0.0;33.85;506.84;0.0
3151;0.0;22.85;513.44;0.0
3152;0.0;33.85;509.81;0.0
3153;0.0;31.54;513.44;0.0
3154;0.0;33.85;514.81;0.0
3155;0.0;35.25;515.97;0.0
3156;0.0;36.72;515.97;0.0
3157;0.0;36.89;515.97;0.0
3158;0.0;36.89;515.97;0.0
3159;0.0;35.98;515.97;0.0
3160;0.0;33.85;515.28;0.0
3161;0.0;33.85;515.46;0.0
3162;0.0;37.21;515.97;0.0
3163;0.0;41.07;519.31;0.0
3164;0.0;41.39;519.31;0.0
3165;0.0;39.84;519.31;0.0
3166;0.0;37.38;519.31;0.0
3167;0.0;34.1;519.31;0.0
3168;0.0;33.85;517.5;0.0
3169;0.0;33.85;515.82;0.0
3170;0.0;33.85;514.57;0.0
3171;0.0;33.85;513.84;0.0
3172;0.0;32.56;513.44;0.0
3173;0.0;22.2;513.44;0.0
3174;0.0;26.32;510.93;0.0
3175;0.0;23.67;513.44;0.0
3176;0.0;33.85;510.55;0.0
3177;0.0;33.85;511.79;0.0
3178;0.0;30.56;513.44;0.0
3179;0.0;33.85;511.19;0.0
3180;0.0;28.92;513.44;0.0
3181;0.0;33.85;510.8;0.0
3182;0.0;33.85;511.02;0.0
3183;0.0;33.85;511.15;0.0
3184;0.0;29.0;513.44;0.0
3185;0.0;24.59;515.97;0.0
3186;0.0;33.85;512.53;0.0
3187;0.0;52.38;506.77;0.0
3188;0.0;50.58;506.77;0.0
3189;0.0;48.12;506.77;0.0
3190;0.0;45.99;506.77;0.0
3191;0.0;44.59;506.77;0.0
3192;0.0;33.85;511.81;0.0
3193;0.0;33.85;511.38;0.0
3194;0.0;29.85;513.44;0.0
3195;0.0;33.85;511.73;0.0
3196;0.0;33.85;512.07;0.0
3197;0.0;33.85;507.01;0.0
3198;0.0;32.57;506.22;0.0
3199;0.0;33.85;508.44;0.0
3200;0.0;33.85;508.48;0.0
3201;0.0;22.53;513.44;0.0
3202;0.0;33.85;506.5;0.0
3203;0.0;33.39;506.22;0.0
3204;0.0;33.31;506.22;0.0
3205;0.0;33.72;506.22;0.0
3206;0.0;20.23;513.44;0.0
3207;0.0;33.72;506.22;0.0
3208;0.0;33.47;506.22;0.0
3209;0.0;33.06;506.22;0.0
3210;0.0;32.98;506.22;0.0
3211;0.0;25.35;513.44;0.0
3212;0.0;31.99;509.56;0.0
3213;0.0;31.01;509.56;0.0
3214;0.0;30.11;509.56;0.0
3215;0.0;29.45;509.56;0.0
3216;0.0;29.04;509.56;0.0
3217;0.0;28.88;509.56;0.0
3218;0.0;29.45;509.56;0.0
3219;0.0;30.93;509.56;0.0
3220;0.0;25.92;513.44;0.0
3221;0.0;19.82;513.44;0.0
3222;0.0;19.99;513.44;0.0
3223;0.0;22.28;513.44;0.0
3224;0.0;33.85;508.48;0.0
3225;0.0;26.38;513.44;0.0
3226;0.0;25.48;515.55;0.0
3227;0.0;33.85;513.04;0.0
3228;0.0;33.85;514.59;0.0
3229;0.0;33.85;515.63;0.0
3230;0.0;35.25;515.97;0.0
3231;0.0;38.12;515.97;0.0
3232;0.0;39.84;515.97;0.0
3233;0.0;39.59;515.97;0.0
3234;0.0;38.61;515.97;0.0
3235;0.0;38.12;519.31;0.0
3236;0.0;37.21;519.31;0.0
3237;0.0;35.49;519.31;0.0
3238;0.0;34.18;519.31;0.0
3239;0.0;33.44;519.31;0.0
3240;0.0;33.85;518.79;0.0
3241;0.0;33.85;518.49;0.0
3242;0.0;33.52;519.31;0.0
3243;0.0;34.26;519.31;0.0
3244;0.0;31.88;519.31;0.0
3245;0.0;35.0;515.97;0.0
3246;0.0;40.08;515.97;0.0
3247;0.0;39.51;515.97;0.0
3248;0.0;40.33;515.97;0.0
3249;0.0;42.87;515.97;0.0
3250;0.0;45.33;515.97;0.0
3251;0.0;46.23;515.97;0.0
3252;0.0;45.9;515.97;0.0
3253;0.0;45.08;515.97;0.0
3254;0.0;43.44;515.97;0.0
3255;0.0;41.89;515.97;0.0
3256;0.0;41.15;515.97;0.0
3257;0.0;38.85;515.97;0.0
3258;0.0;34.1;515.97;0.0
3259;0.0;32.79;518.92;0.0
3260;0.0;32.79;519.31;0.0
3261;0.0;34.34;519.31;0.0
3262;0.0;34.59;519.31;0.0
3263;0.0;34.51;519.31;0.0
3264;0.0;34.1;519.31;0.0
3265;0.0;33.85;518.4;0.0
3266;0.0;33.85;518.49;0.0
3267;0.0;33.85;518.32;0.0
3268;0.0;33.85;516.51;0.0
3269;0.0;33.85;512.18;0.0
3270;0.0;33.85;515.24;0.0
3271;0.0;33.85;514.34;0.0
3272;0.0;33.85;513.78;0.0
