snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
6690;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6691;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6692;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6693;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6694;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6695;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6696;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6697;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6698;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6699;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6700;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6701;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6702;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6703;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6704;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6705;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6706;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6707;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6708;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6709;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6710;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6711;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6712;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6713;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6714;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6715;18.97;-18.97;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
6716;28.04;-28.04;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
