;grid;PEM input;Compressor;hydrogen_storage;Curtailment
336;17.36;-15.73;-1.64;-2.46;0
337;17.36;-15.73;-1.64;-2.46;0
338;17.36;-15.73;-1.64;-2.46;0
339;17.36;-15.73;-1.64;-2.46;0
340;17.36;-15.73;-1.64;-2.46;0
341;17.36;-15.73;-1.64;0.88;0
342;17.36;-15.73;-1.64;0.88;0
343;17.36;-15.73;-1.64;0.88;0
344;17.36;-15.73;-1.64;0.88;0
345;17.36;-15.73;-1.64;0.88;0
346;17.36;-15.73;-1.64;0.88;0
347;17.36;-15.73;-1.64;0.88;0
348;17.36;-15.73;-1.64;0.88;0
349;17.36;-15.73;-1.64;0.88;0
350;17.36;-15.73;-1.64;0.88;0
351;17.36;-15.73;-1.64;0.88;0
352;17.36;-15.73;-1.64;0.88;0
353;17.36;-15.73;-1.64;0.88;0
354;17.36;-15.73;-1.64;0.88;0
355;12.69;-11.49;-1.2;0.0;0
356;17.36;-15.73;-1.64;-2.46;0
357;17.36;-15.73;-1.64;-2.46;0
358;3.86;-3.49;-0.36;4.64;0
359;17.36;-15.73;-1.64;-2.46;0
360;17.36;-15.73;-1.64;-2.46;0
361;17.36;-15.73;-1.64;-2.46;0
362;17.36;-15.73;-1.64;-2.46;0
363;17.36;-15.73;-1.64;-2.46;0
364;17.36;-15.73;-1.64;-2.46;0
365;17.36;-15.73;-1.64;0.88;0
366;17.36;-15.73;-1.64;0.88;0
367;17.36;-15.73;-1.64;0.88;0
368;17.36;-15.73;-1.64;0.88;0
369;17.36;-15.73;-1.64;0.88;0
370;17.36;-15.73;-1.64;0.88;0
371;17.36;-15.73;-1.64;0.88;0
372;17.36;-15.73;-1.64;0.88;0
373;17.36;-15.73;-1.64;0.88;0
374;17.36;-15.73;-1.64;0.88;0
375;17.36;-15.73;-1.64;0.88;0
376;17.36;-15.73;-1.64;0.88;0
377;17.36;-15.73;-1.64;0.88;0
378;12.17;-11.02;-1.15;3.61;0
379;17.36;-15.73;-1.64;-2.46;0
380;8.01;-7.26;-0.75;2.46;0
381;17.36;-15.73;-1.64;-2.46;0
382;17.36;-15.73;-1.64;-2.46;0
383;17.36;-15.73;-1.64;-2.46;0
384;17.36;-15.73;-1.64;-2.46;0
385;17.36;-15.73;-1.64;-2.46;0
386;17.36;-15.73;-1.64;-2.46;0
387;17.36;-15.73;-1.64;-2.46;0
388;17.36;-15.73;-1.64;-2.46;0
389;17.36;-15.73;-1.64;0.88;0
390;17.36;-15.73;-1.64;0.88;0
391;17.36;-15.73;-1.64;0.88;0
392;17.36;-15.73;-1.64;0.88;0
393;17.36;-15.73;-1.64;0.88;0
394;17.36;-15.73;-1.64;0.88;0
395;6.34;-5.75;-0.6;6.67;0
396;17.36;-15.73;-1.64;0.88;0
397;17.36;-15.73;-1.64;0.88;0
398;14.36;-13.01;-1.35;2.46;0
399;17.36;-15.73;-1.64;0.88;0
400;17.36;-15.73;-1.64;0.88;0
401;17.36;-15.73;-1.64;0.88;0
402;17.36;-15.73;-1.64;0.88;0
403;17.36;-15.73;-1.64;-2.46;0
404;17.36;-15.73;-1.64;-2.46;0
405;17.36;-15.73;-1.64;-2.46;0
406;17.36;-15.73;-1.64;-2.46;0
407;17.36;-15.73;-1.64;-2.46;0
408;17.36;-15.73;-1.64;-2.46;0
409;3.86;-3.49;-0.36;4.64;0
410;17.36;-15.73;-1.64;-2.46;0
411;17.36;-15.73;-1.64;-2.46;0
412;17.36;-15.73;-1.64;-2.46;0
413;17.36;-15.73;-1.64;0.88;0
414;17.36;-15.73;-1.64;0.88;0
415;17.36;-15.73;-1.64;0.88;0
416;17.36;-15.73;-1.64;0.88;0
417;17.36;-15.73;-1.64;0.88;0
418;17.36;-15.73;-1.64;0.88;0
419;17.36;-15.73;-1.64;0.88;0
420;17.36;-15.73;-1.64;0.88;0
421;17.36;-15.73;-1.64;0.88;0
422;17.36;-15.73;-1.64;0.88;0
423;17.36;-15.73;-1.64;0.88;0
