;on_wind;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1614;7.08;1.17;-7.47;0.0;-0.78;5.67;-0.0
1615;5.18;5.45;-9.63;0.0;-1.0;4.41;-0.0
1616;3.54;10.02;-12.28;0.0;-1.28;2.87;-0.0
1617;2.38;12.3;-13.3;0.0;-1.38;2.29;-0.0
1618;1.47;13.28;-13.36;0.0;-1.39;2.25;-0.0
1619;0.86;16.26;-15.51;0.0;-1.61;1.0;-0.0
1620;0.52;14.31;-13.43;0.0;-1.4;2.21;-0.0
1621;0.43;10.07;-9.51;0.0;-0.99;4.48;-0.0
1622;0.56;4.89;-5.01;0.07;-0.52;7.09;-0.0
1623;0.91;1.49;-5.01;3.13;-0.52;7.09;-0.0
1624;1.81;0.14;-5.01;3.57;-0.52;7.09;-0.0
1625;3.24;-0.0;-5.01;2.29;-0.52;7.09;-0.0
1626;4.88;-0.0;-5.01;0.65;-0.52;7.09;-0.0
1627;6.09;-0.0;-5.52;0.0;-0.57;3.47;-0.0
1628;7.3;-0.0;-6.61;0.0;-0.69;2.83;-0.0
1629;8.9;-0.0;-8.06;0.0;-0.84;1.99;-0.0
1630;8.42;-0.0;-7.63;0.0;-0.79;2.24;-0.0
1631;5.7;-0.0;-5.16;0.0;-0.54;3.67;-0.0
1632;6.61;-0.0;-5.99;0.0;-0.62;3.19;-0.0
1633;9.24;-0.0;-8.37;0.0;-0.87;1.81;-0.0
1634;8.72;-0.0;-7.9;0.0;-0.82;2.08;-0.0
1635;4.84;-0.0;-5.01;0.69;-0.52;3.76;-0.0
1636;3.07;-0.0;-5.01;2.46;-0.52;3.76;-0.0
1637;3.33;-0.0;-5.01;2.2;-0.52;7.09;-0.0
1638;4.02;0.14;-5.01;1.37;-0.52;7.09;-0.0
1639;2.72;0.56;-5.01;2.25;-0.52;7.09;-0.0
1640;2.46;1.49;-13.75;11.23;-1.43;2.02;-0.0
1641;2.16;1.91;-5.01;1.46;-0.52;7.09;-0.0
1642;1.81;3.22;-5.01;0.5;-0.52;7.09;-0.0
1643;2.72;4.8;-6.81;0.0;-0.71;6.05;-0.0
1644;3.97;6.57;-9.55;0.0;-0.99;4.46;-0.0
1645;5.14;6.76;-10.78;0.0;-1.12;3.75;-0.0
1646;7.08;4.33;-10.34;0.0;-1.08;4.0;-0.0
1647;9.29;1.12;-9.42;0.0;-0.98;4.53;-0.0
1648;10.67;-0.0;-9.66;0.0;-1.0;4.39;-0.0
1649;12.74;-0.0;-11.54;0.0;-1.2;3.31;-0.0
1650;16.93;-0.0;-15.34;0.0;-1.59;1.1;-0.0
1651;23.62;-0.0;-21.4;0.0;-2.23;-5.75;-0.0
1652;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-3.76
1653;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-3.59
1654;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-0.09
1655;21.16;-0.0;-19.17;0.0;-1.99;-4.45;-0.0
1656;18.14;-0.0;-16.43;0.0;-1.71;-2.86;-0.0
1657;16.8;-0.0;-15.22;0.0;-1.58;-2.16;-0.0
1658;17.41;-0.0;-15.77;0.0;-1.64;-2.48;-0.0
1659;16.46;-0.0;-14.91;0.0;-1.55;-1.98;-0.0
1660;15.76;-0.0;-14.28;0.0;-1.48;-1.62;-0.0
1661;15.03;-0.0;-13.61;0.0;-1.42;2.1;-0.0
1662;12.57;3.08;-14.17;0.0;-1.47;1.78;-0.0
1663;9.2;12.3;-19.48;0.0;-2.03;-1.3;-0.0
1664;1.48;23.39;-22.53;0.0;-2.34;-3.07;-5.73
1665;-0.0;30.8;-22.53;-5.93;-2.34;-3.07;-7.77
1666;-0.0;36.26;-22.53;-11.38;-2.34;-3.07;-7.6
1667;-0.0;37.98;-22.53;-13.11;-2.34;-3.07;-7.39
1668;-0.0;36.26;-22.53;-11.38;-2.34;-3.07;-8.77
1669;-0.0;30.43;-22.53;-5.56;-2.34;-3.07;-10.54
1670;5.3;19.57;-22.53;0.0;-2.34;-3.07;-5.88
1671;10.71;10.58;-19.28;0.0;-2.01;-1.19;-0.0
1672;11.01;2.42;-12.17;0.0;-1.27;2.94;-0.0
1673;13.6;-0.0;-12.32;0.0;-1.28;2.85;-0.0
1674;15.33;-0.0;-13.89;0.0;-1.44;1.94;-0.0
1675;-0.0;-0.0;0.0;0.0;0.0;6.67;-15.29
1676;-0.0;-0.0;0.0;0.0;0.0;6.67;-14.73
1677;-0.0;-0.0;0.0;0.0;0.0;6.67;-14.94
1678;-0.0;-0.0;0.0;0.0;0.0;6.67;-14.55
1679;-0.0;-0.0;0.0;0.0;0.0;6.67;-13.95
1680;12.74;-0.0;-11.54;0.0;-1.2;-0.03;-0.0
1681;11.19;-0.0;-10.13;0.0;-1.05;0.79;-0.0
1682;9.98;-0.0;-9.04;0.0;-0.94;1.42;-0.0
1683;9.29;-0.0;-8.41;0.0;-0.87;1.79;-0.0
1684;9.63;-0.0;-8.72;0.0;-0.91;1.61;-0.0
1685;9.72;-0.0;-8.8;0.0;-0.92;4.89;-0.0
1686;9.16;0.89;-9.1;0.0;-0.95;4.72;-0.0
1687;7.95;4.94;-11.67;0.0;-1.21;3.23;-0.0
1688;10.15;12.02;-20.08;0.0;-2.09;-1.65;-0.0
