;on_wind;pv;battery storage;hydrogen_storage;Curtailment
424;0.0;0.0;19.93;179.04;0.0
425;0.0;0.0;19.93;179.79;0.0
426;0.0;0.0;19.93;180.06;0.0
427;0.0;0.0;19.93;183.65;0.0
428;0.0;0.0;19.93;184.12;0.0
429;0.0;0.0;19.93;184.64;0.0
430;0.0;0.0;19.93;185.19;0.0
431;0.0;0.0;19.93;185.19;0.0
432;0.0;0.0;20.71;185.55;0.0
433;0.0;0.0;21.4;185.55;0.0
434;0.0;0.0;21.18;185.55;0.0
435;0.0;0.0;21.01;185.55;0.0
436;0.0;0.0;20.1;185.55;0.0
437;0.0;0.0;20.1;182.22;0.0
438;0.0;0.0;19.93;180.81;0.0
439;0.0;0.0;19.93;179.86;0.0
440;0.0;0.0;19.93;179.33;0.0
441;0.0;0.0;19.93;178.47;0.0
442;0.0;0.0;19.93;178.36;0.0
443;0.0;0.0;19.93;178.27;0.0
444;0.0;0.0;19.93;178.04;0.0
445;0.0;0.0;19.93;177.93;0.0
446;0.0;0.0;19.93;176.68;0.0
447;0.0;0.0;19.93;176.86;0.0
448;0.0;0.0;19.93;177.36;0.0
449;0.0;0.0;19.93;177.07;0.0
450;0.0;0.0;19.93;176.23;0.0
451;0.0;0.0;19.93;178.5;0.0
452;0.0;0.0;19.93;177.79;0.0
453;0.0;0.0;19.93;177.54;0.0
454;0.0;0.0;19.93;177.18;0.0
455;0.0;0.0;19.93;176.88;0.0
456;0.0;0.0;19.93;176.54;0.0
457;0.0;0.0;19.93;176.09;0.0
458;0.0;0.0;19.93;176.2;0.0
459;0.0;0.0;13.94;179.15;0.0
460;0.0;0.0;19.93;175.82;0.0
461;0.0;0.0;6.94;179.15;0.0
462;0.0;0.0;7.16;179.15;0.0
463;0.0;0.0;19.93;172.84;0.0
464;0.0;0.0;19.93;174.09;0.0
465;0.0;0.0;19.93;176.11;0.0
466;0.0;0.0;19.93;178.52;0.0
467;0.0;0.0;20.45;182.22;0.0
468;0.0;0.0;19.93;180.36;0.0
469;0.0;0.0;19.93;176.27;0.0
470;0.0;0.0;18.48;172.05;0.0
