snapshot;pv;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
194;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
195;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
196;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
197;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
198;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
199;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
200;64.92;-30.13;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
201;209.12;-174.33;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
202;192.04;-157.25;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
203;84.06;-49.27;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
204;54.67;-19.88;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
205;46.47;-11.68;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
206;15.03;0.0;2.1;13.62;7.9;-7.9;-7.9;1.42;0.0;10.0
207;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
208;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
209;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
210;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
211;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
212;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
213;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
214;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
215;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
216;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
217;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
218;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
219;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
220;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
221;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
222;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
223;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
224;16.4;0.0;1.38;14.86;8.62;-8.62;-8.62;1.54;0.0;10.0
225;43.05;-8.26;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
226;71.76;-36.97;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
227;66.97;-32.18;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
228;42.37;-7.58;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
229;26.65;0.0;-4.0;24.14;14.0;-14.0;-14.0;2.51;0.0;10.0
230;8.2;0.0;5.69;7.43;4.31;-4.31;-4.31;0.77;0.0;10.0
231;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
232;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
233;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
234;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
235;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
236;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
237;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
238;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
239;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
240;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
241;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
242;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
243;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
244;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
245;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
246;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
247;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
248;4.1;3.63;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
249;25.97;0.0;-3.64;23.52;13.64;-13.64;-13.64;2.45;0.0;10.0
250;38.95;-4.16;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
251;51.94;-17.15;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
252;54.67;-19.88;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
253;51.26;-16.46;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
254;19.14;0.0;-0.05;17.33;10.05;-10.05;-10.05;1.8;0.0;10.0
255;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
256;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
257;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
