;pv;battery storage;hydrogen_storage;Curtailment
1351;187.36;174.33;232.82;187.36
1352;337.02;174.33;232.82;337.02
1353;429.75;174.33;232.93;429.75
1354;475.03;174.33;241.1;475.03
1355;490.06;174.33;241.1;490.06
1356;455.89;174.33;241.1;455.89
1357;367.05;174.33;241.1;367.05
1358;174.81;224.42;241.1;174.81
1359;0.0;227.7;241.1;0.0
1360;0.0;171.38;226.88;0.0
1361;0.0;166.6;226.88;0.0
1362;0.0;166.6;226.88;0.0
1363;0.0;166.6;230.21;0.0
1364;0.0;166.6;230.21;0.0
1365;0.0;166.6;230.21;0.0
1366;0.0;166.6;230.21;0.0
1367;0.0;166.6;230.21;0.0
1368;0.0;166.6;230.21;0.0
1369;0.0;166.6;230.21;0.0
1370;0.0;166.6;230.21;0.0
1371;0.0;166.6;230.21;0.0
1372;0.0;166.6;230.21;0.0
1373;0.0;166.6;226.88;0.0
1374;3.52;174.33;232.82;3.52
1375;108.76;174.33;232.82;108.76
1376;297.38;174.33;232.82;297.38
1377;419.03;174.33;232.82;419.03
1378;447.26;174.33;238.09;447.26
1379;451.79;174.33;241.1;451.79
1380;423.09;174.33;241.1;423.09
1381;355.43;174.33;241.1;355.43
1382;246.77;174.33;241.1;246.77
1383;3.43;274.84;241.1;3.43
1384;0.0;174.33;230.0;0.0
1385;0.0;166.6;226.88;0.0
1386;0.0;166.6;226.88;0.0
1387;0.0;166.6;230.21;0.0
1388;0.0;166.6;230.21;0.0
1389;0.0;166.6;230.21;0.0
1390;0.0;166.6;230.21;0.0
1391;0.0;166.6;230.21;0.0
1392;0.0;166.6;230.21;0.0
1393;0.0;166.6;230.21;0.0
1394;0.0;166.6;230.21;0.0
1395;0.0;166.6;230.21;0.0
1396;0.0;166.6;230.21;0.0
1397;0.0;166.6;226.88;0.0
1398;31.54;174.33;232.82;31.54
1399;209.23;174.33;232.82;209.23
1400;350.01;174.33;232.82;350.01
1401;444.32;174.33;232.82;444.32
1402;493.05;174.33;235.22;493.05
1403;493.48;174.33;241.1;493.48
1404;464.09;174.33;241.1;464.09
1405;395.07;174.33;241.1;395.07
1406;282.31;174.33;241.1;282.31
1407;26.67;274.84;241.1;26.67
1408;0.0;174.33;232.87;0.0
1409;0.0;166.6;226.88;0.0
1410;0.0;166.6;226.88;0.0
1411;0.0;166.6;230.21;0.0
1412;0.0;166.6;230.21;0.0
1413;0.0;166.6;230.21;0.0
1414;0.0;166.6;230.21;0.0
1415;0.0;166.6;230.21;0.0
1416;0.0;166.6;230.21;0.0
1417;0.0;166.6;230.21;0.0
1418;0.0;166.6;230.21;0.0
1419;0.0;166.6;230.21;0.0
1420;0.0;166.6;230.21;0.0
1421;0.0;166.6;226.88;0.0
1422;32.91;174.33;232.82;32.91
1423;205.81;174.33;232.82;205.81
1424;349.32;174.33;232.82;349.32
1425;445.0;174.33;232.82;445.0
1426;495.89;174.33;234.45;495.89
1427;496.21;174.33;241.1;496.21
1428;470.25;174.33;241.1;470.25
1429;403.27;174.33;241.1;403.27
1430;293.24;174.33;241.1;293.24
1431;39.65;274.84;241.1;39.65
1432;0.0;174.33;235.38;0.0
1433;0.0;166.6;226.88;0.0
1434;0.0;166.6;226.88;0.0
1435;0.0;166.6;230.21;0.0
1436;0.0;166.6;230.21;0.0
1437;0.0;166.6;230.21;0.0
1438;0.0;166.6;230.21;0.0
1439;0.0;166.6;230.21;0.0
1440;0.0;166.6;230.21;0.0
1441;0.0;166.6;230.21;0.0
1442;0.0;166.6;230.21;0.0
1443;0.0;166.6;230.21;0.0
1444;0.0;166.6;230.21;0.0
1445;0.0;166.6;226.88;0.0
1446;0.0;174.33;231.08;0.0
1447;69.13;174.33;232.82;69.13
1448;179.16;174.33;232.82;179.16
1449;323.35;174.33;232.82;323.35
1450;449.42;174.33;237.32;449.42
1451;479.13;174.33;241.1;479.13
1452;453.16;174.33;241.1;453.16
1453;385.5;174.33;241.1;385.5
1454;276.16;174.33;241.1;276.16
1455;24.62;274.84;241.1;24.62
1456;0.0;174.33;233.59;0.0
1457;0.0;166.6;226.88;0.0
1458;0.0;166.6;226.88;0.0
1459;0.0;166.6;230.21;0.0
1460;0.0;166.6;230.21;0.0
1461;0.0;166.6;230.21;0.0
1462;0.0;166.6;230.21;0.0
1463;0.0;166.6;230.21;0.0
1464;0.0;166.6;230.21;0.0
1465;0.0;166.6;230.21;0.0
1466;0.0;166.6;230.21;0.0
1467;0.0;166.6;230.21;0.0
1468;0.0;166.6;230.21;0.0
1469;0.0;166.6;226.88;0.0
1470;0.0;174.33;230.0;0.0
1471;56.83;174.33;232.82;56.83
1472;138.66;174.33;233.98;138.66
1473;228.32;174.33;241.1;228.32
1474;334.93;174.33;241.1;334.93
1475;449.74;174.33;241.1;449.74
1476;456.58;174.33;241.1;456.58
1477;390.29;174.33;241.1;390.29
1478;280.94;174.33;241.1;280.94
1479;25.77;279.15;241.1;25.77
1480;0.0;174.33;233.59;0.0
1481;0.0;166.6;226.88;0.0
1482;0.0;166.6;226.88;0.0
1483;0.0;166.6;230.21;0.0
1484;0.0;166.6;230.21;0.0
1485;0.0;166.6;230.21;0.0
1486;0.0;166.6;230.21;0.0
1487;0.0;166.6;230.21;0.0
1488;0.0;166.6;230.21;0.0
1489;0.0;166.6;230.21;0.0
1490;0.0;166.6;230.21;0.0
1491;0.0;166.6;230.21;0.0
1492;0.0;166.6;230.21;0.0
1493;0.0;166.6;226.88;0.0
1494;0.0;170.02;226.88;0.0
1495;0.0;174.33;232.51;0.0
1496;29.45;174.33;241.1;29.45
1497;167.5;174.33;241.1;167.5
1498;244.04;174.33;241.1;244.04
1499;245.4;174.33;241.1;245.4
1500;248.82;174.33;241.1;248.82
1501;180.48;174.33;241.1;180.48
1502;86.83;211.95;241.1;86.83
1503;0.0;207.2;241.1;0.0
1504;0.0;170.7;226.88;0.0
1505;0.0;166.6;226.88;0.0
1506;0.0;166.6;226.88;0.0
1507;0.0;174.33;226.15;0.0
1508;0.0;174.33;226.15;0.0
1509;0.0;174.33;226.15;0.0
1510;0.0;174.33;226.15;0.0
1511;0.0;174.33;226.15;0.0
1512;0.0;166.6;230.21;0.0
1513;0.0;166.6;230.21;0.0
1514;0.0;166.6;230.21;0.0
1515;0.0;166.6;230.21;0.0
1516;0.0;166.6;230.21;0.0
1517;0.0;166.6;226.88;0.0
1518;0.0;169.33;226.88;0.0
1519;0.1;174.33;232.82;0.1
1520;7.14;174.33;239.53;7.14
1521;34.92;174.33;241.1;34.92
1522;64.99;174.33;241.1;64.99
1523;74.55;174.33;241.1;74.55
1524;12.11;223.1;241.1;12.11
1525;0.0;215.4;241.1;0.0
1526;0.0;188.74;241.1;0.0
1527;0.0;181.27;232.82;0.0
1528;0.0;170.02;226.88;0.0
1529;0.0;166.6;226.88;0.0
1530;0.0;166.6;226.88;0.0
1531;0.0;166.6;230.21;0.0
1532;0.0;166.6;230.21;0.0
1533;0.0;166.6;230.21;0.0
1534;0.0;166.6;230.21;0.0
1535;0.0;166.6;230.21;0.0
1536;0.0;166.6;230.21;0.0
1537;0.0;166.6;230.21;0.0
1538;0.0;166.6;230.21;0.0
1539;0.0;166.6;230.21;0.0
1540;0.0;166.6;230.21;0.0
1541;0.0;166.6;226.88;0.0
1542;0.0;167.97;226.88;0.0
1543;0.0;174.33;232.15;0.0
1544;37.69;174.33;232.82;37.69
1545;152.39;174.33;235.39;152.39
1546;200.3;174.33;241.1;200.3
1547;196.88;174.33;241.1;196.88
1548;179.11;174.33;241.1;179.11
1549;154.51;174.33;241.1;154.51
1550;70.25;225.79;241.1;70.25
1551;0.0;225.65;241.1;0.0
1552;0.0;174.33;230.36;0.0
1553;0.0;166.6;226.88;0.0
1554;0.0;166.6;226.88;0.0
1555;0.0;166.6;230.21;0.0
1556;0.0;166.6;230.21;0.0
1557;0.0;166.6;230.21;0.0
1558;0.0;166.6;230.21;0.0
1559;0.0;166.6;230.21;0.0
1560;0.0;166.6;230.21;0.0
1561;0.0;166.6;230.21;0.0
1562;0.0;166.6;230.21;0.0
1563;0.0;166.6;230.21;0.0
1564;0.0;166.6;230.21;0.0
1565;0.0;166.6;226.88;0.0
1566;0.0;172.07;226.88;0.0
1567;13.77;174.33;232.82;13.77
1568;38.36;174.33;235.34;38.36
1569;49.95;174.33;241.1;49.95
1570;69.09;174.33;241.1;69.09
1571;77.29;174.33;241.1;77.29
1572;11.54;225.72;241.1;11.54
1573;0.0;216.76;241.1;0.0
1574;0.0;187.38;241.1;0.0
1575;0.0;174.33;233.95;0.0
1576;0.0;167.97;226.88;0.0
1577;0.0;166.6;226.88;0.0
1578;0.0;166.6;226.88;0.0
1579;0.0;166.6;230.21;0.0
1580;0.0;166.6;230.21;0.0
1581;0.0;166.6;230.21;0.0
1582;0.0;166.6;230.21;0.0
1583;0.0;166.6;230.21;0.0
1584;0.0;166.6;230.21;0.0
1585;0.0;166.6;230.21;0.0
1586;0.0;166.6;230.21;0.0
1587;0.0;166.6;230.21;0.0
1588;0.0;166.6;230.21;0.0
1589;0.0;166.6;226.88;0.0
1590;0.0;174.33;229.28;0.0
1591;26.07;174.33;232.82;26.07
1592;62.97;174.33;233.54;62.97
1593;81.39;174.33;241.1;81.39
1594;91.64;174.33;241.1;91.64
1595;73.87;174.33;241.1;73.87
1596;34.78;199.75;241.1;34.78
1597;0.0;234.53;241.1;0.0
1598;0.0;194.21;241.1;0.0
1599;0.0;174.33;233.23;0.0
1600;0.0;169.33;226.88;0.0
1601;0.0;166.6;226.88;0.0
1602;0.0;166.6;226.88;0.0
1603;0.0;166.6;230.21;0.0
1604;0.0;166.6;230.21;0.0
1605;0.0;166.6;230.21;0.0
1606;0.0;166.6;230.21;0.0
1607;0.0;166.6;230.21;0.0
1608;0.0;166.6;230.21;0.0
1609;0.0;166.6;230.21;0.0
1610;0.0;166.6;230.21;0.0
1611;0.0;166.6;230.21;0.0
1612;0.0;166.6;230.21;0.0
1613;0.0;166.6;226.88;0.0
1614;0.0;174.33;231.79;0.0
1615;50.39;174.33;238.35;50.39
1616;112.14;174.33;241.1;112.14
1617;145.63;174.33;241.1;145.63
1618;159.98;174.33;241.1;159.98
1619;203.72;174.33;241.1;203.72
1620;175.01;174.33;241.1;175.01
1621;37.92;249.24;241.1;37.92
1622;0.0;211.3;241.1;0.0
1623;0.0;174.33;234.31;0.0
1624;0.0;168.65;226.88;0.0
1625;0.0;166.6;226.88;0.0
1626;0.0;166.6;226.88;0.0
1627;0.0;166.6;230.21;0.0
1628;0.0;166.6;230.21;0.0
1629;0.0;166.6;230.21;0.0
1630;0.0;166.6;230.21;0.0
1631;0.0;166.6;230.21;0.0
1632;0.0;166.6;230.21;0.0
1633;0.0;166.6;230.21;0.0
1634;0.0;166.6;230.21;0.0
1635;0.0;166.6;230.21;0.0
1636;0.0;166.6;230.21;0.0
1637;0.0;166.6;226.88;0.0
1638;0.0;168.65;226.88;0.0
1639;0.0;174.33;227.13;0.0
1640;0.0;174.33;234.31;0.0
1641;0.0;174.33;237.54;0.0
1642;12.36;174.33;241.1;12.36
1643;35.6;174.33;241.1;35.6
1644;46.4;189.5;241.1;46.4
1645;0.0;238.63;241.1;0.0
1646;0.0;203.1;241.1;0.0
1647;0.0;174.33;231.43;0.0
1648;0.0;166.6;226.88;0.0
1649;0.0;166.6;226.88;0.0
1650;0.0;166.6;226.88;0.0
1651;0.0;166.6;230.21;0.0
1652;0.0;166.6;230.21;0.0
1653;0.0;166.6;230.21;0.0
1654;0.0;166.6;230.21;0.0
1655;0.0;166.6;230.21;0.0
1656;0.0;166.6;230.21;0.0
1657;0.0;166.6;230.21;0.0
1658;0.0;166.6;230.21;0.0
1659;0.0;166.6;230.21;0.0
1660;0.0;166.6;230.21;0.0
1661;0.0;166.6;226.88;0.0
1662;26.07;174.33;232.82;26.07
1663;158.16;174.33;234.51;158.16
1664;308.28;174.33;241.1;308.28
1665;416.94;174.33;241.1;416.94
1666;496.9;174.33;241.1;496.9
1667;522.18;174.33;241.1;522.18
1668;496.9;174.33;241.1;496.9
1669;411.47;174.33;241.1;411.47
1670;252.24;174.33;241.1;252.24
1671;59.24;235.44;241.1;59.24
1672;0.0;175.08;241.1;0.0
1673;0.0;166.6;226.88;0.0
1674;0.0;166.6;226.88;0.0
1675;0.0;174.33;226.15;0.0
