;pv;grid;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1901;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1902;1.72;14.11;-14.34;0.0;-1.49;1.68;-0.0
1903;5.08;0.95;-5.46;0.0;-0.57;6.83;-0.0
1904;9.1;14.11;-21.02;0.0;-2.19;-2.19;-0.0
1905;12.45;14.11;-24.06;0.0;-2.5;-3.95;-0.0
1906;13.22;13.5;-24.2;0.0;-2.52;-4.04;-0.0
1907;12.83;13.89;-24.2;0.0;-2.52;-4.04;-0.0
1908;11.68;7.91;-17.75;0.0;-1.85;-0.3;-0.0
1909;9.67;14.11;-21.54;0.0;-2.24;-2.49;-0.0
1910;6.51;-0.0;-5.9;0.0;-0.61;6.58;-0.0
1911;3.83;14.11;-16.25;0.0;-1.69;0.58;-0.0
1912;1.34;14.11;-13.99;0.0;-1.45;1.88;-0.0
1913;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1914;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1915;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1916;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
1917;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1918;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1919;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1920;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1921;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1922;-0.0;7.49;-6.79;0.0;-0.71;2.73;-0.0
1923;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1924;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1925;0.19;14.11;-12.95;0.0;-1.35;2.49;-0.0
1926;6.99;14.11;-19.11;0.0;-1.99;-1.09;-0.0
1927;26.72;0.0;-24.2;0.0;-2.52;-4.04;-0.0
1928;40.13;-0.0;-24.2;-13.41;-2.52;-4.04;-0.0
1929;37.73;-0.0;-24.2;-11.01;-2.52;-4.04;-0.0
1930;28.44;-0.0;-24.2;-1.72;-2.52;-4.04;-0.0
1931;21.45;5.27;-24.2;0.0;-2.52;-4.04;-0.0
1932;24.52;2.2;-24.2;0.0;-2.52;-4.04;-0.0
1933;18.96;-0.0;-18.56;1.53;-1.93;-0.77;-0.0
1934;5.84;14.11;-18.07;0.0;-1.88;-0.48;-0.0
1935;2.2;14.11;-14.77;0.0;-1.54;1.43;-0.0
1936;0.38;14.11;-13.12;0.0;-1.36;2.39;-0.0
1937;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1938;-0.0;-0.0;-5.38;5.94;-0.56;6.88;-0.0
1939;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1940;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1941;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1942;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1943;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1944;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1945;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1946;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1947;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1948;-0.0;5.07;-5.38;0.86;-0.56;3.55;-0.0
1949;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1950;3.06;14.11;-15.55;0.0;-1.62;0.98;-0.0
1951;11.49;7.54;-17.24;0.0;-1.79;0.0;-0.0
1952;27.39;-0.0;-24.2;-0.67;-2.52;-4.04;-0.0
1953;43.48;-0.0;-24.2;-16.76;-2.52;-4.04;-0.0
1954;52.29;-0.0;-24.2;-25.57;-2.52;-4.04;-1.34
1955;50.76;-0.0;-24.2;-24.04;-2.52;-4.04;-0.0
1956;33.14;-0.0;-24.2;-6.42;-2.52;-4.04;-0.0
