snapshot;pv;grid;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
173;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
174;-0.0;14.11;4.93;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
175;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
176;0.96;14.11;0.0;2.08;13.65;7.91;-7.91;-7.91;1.42;0.0;10.0
177;4.02;14.11;0.0;0.47;16.42;9.52;-9.52;-9.52;1.71;0.0;10.0
178;6.7;14.11;0.0;-0.93;18.85;10.93;-10.93;-10.93;1.96;0.0;10.0
179;6.61;14.11;0.0;-0.88;18.76;10.88;-10.88;-10.88;1.95;0.0;10.0
180;12.16;14.11;0.0;-3.8;23.79;13.8;-13.8;-13.8;2.47;0.0;10.0
181;15.42;14.11;-2.81;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
182;6.32;14.11;0.0;-0.73;18.5;10.73;-10.73;-10.73;1.92;0.0;10.0
183;-0.0;14.11;2.81;1.11;15.32;8.89;-8.89;-8.89;1.59;0.0;10.0
184;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
185;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
186;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
187;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
188;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
189;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
190;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
191;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
192;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
193;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
194;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
195;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
196;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
197;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
198;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
199;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
200;9.1;14.11;0.0;-2.19;21.02;12.19;-12.19;-12.19;2.19;0.0;10.0
201;29.31;14.11;-16.69;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
202;26.91;14.11;-14.3;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
203;11.78;14.11;0.83;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
204;7.66;14.11;4.95;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
205;6.51;14.11;6.1;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
206;2.11;14.11;9.25;-3.38;23.07;13.38;-13.38;-13.38;2.4;0.0;10.0
207;-0.0;14.11;4.93;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
208;-0.0;14.11;4.93;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
209;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
210;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
211;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
212;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
213;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
214;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
215;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
216;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
217;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
218;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
219;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
220;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
221;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
222;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
223;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
224;2.3;14.11;0.0;1.38;14.86;8.62;-8.62;-8.62;1.55;0.0;10.0
225;6.03;14.11;0.0;-0.58;18.24;10.58;-10.58;-10.58;1.9;0.0;10.0
226;10.06;14.11;0.0;-2.7;21.89;12.69;-12.69;-12.69;2.28;0.0;10.0
227;9.39;14.11;0.0;-2.34;21.28;12.34;-12.34;-12.34;2.21;0.0;10.0
228;5.94;14.11;0.0;-0.53;18.16;10.53;-10.53;-10.53;1.89;0.0;10.0
229;3.73;14.11;0.0;0.63;16.16;9.37;-9.37;-9.37;1.68;0.0;10.0
230;1.15;14.11;0.0;1.98;13.82;8.01;-8.01;-8.01;1.44;0.0;10.0
231;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
232;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
233;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
234;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
235;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
236;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
237;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
238;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
239;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
240;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
241;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
242;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
243;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
244;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
245;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
246;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
247;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
248;0.57;14.11;0.0;2.29;13.3;7.71;-7.71;-7.71;1.38;0.0;10.0
249;3.64;14.11;0.0;0.68;16.07;9.32;-9.32;-9.32;1.67;0.0;10.0
250;5.46;14.11;0.0;-0.28;17.72;10.28;-10.28;-10.28;1.84;0.0;10.0
251;7.28;14.11;0.0;-1.24;19.37;11.24;-11.24;-11.24;2.01;0.0;10.0
252;7.66;14.11;0.0;-1.44;19.72;11.44;-11.44;-11.44;2.05;0.0;10.0
253;7.18;14.11;0.0;-1.19;19.28;11.18;-11.18;-11.18;2.01;0.0;10.0
254;2.68;14.11;0.0;1.18;15.21;8.82;-8.82;-8.82;1.58;0.0;10.0
255;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
256;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
257;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
258;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
259;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
260;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
261;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
262;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
263;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
264;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
265;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
266;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
267;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
268;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
269;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
270;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
271;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
272;0.77;14.11;0.0;2.19;13.47;7.81;-7.81;-7.81;1.4;0.0;10.0
273;1.05;14.11;0.0;2.03;13.73;7.96;-7.96;-7.96;1.43;0.0;10.0
274;0.86;14.11;0.0;2.14;13.56;7.86;-7.86;-7.86;1.41;0.0;10.0
275;0.67;14.11;0.0;2.24;13.39;7.76;-7.76;-7.76;1.39;0.0;10.0
